Name,Lot No.,Kilometers,Price
250 Duke,97,6000,"Rs. 4,50,000"
Ktm Duke 200 On Sell,99,17000,"Rs. 4,00,000"
Duke 200 Sale And Exchange With Crossfire,82,25000,"Rs. 3,30,000"
Duke 200 Sale And Exchange With Crossfire,82,25000,"Rs. 3,30,000"
Duke 200,15,17+,"Rs. 3,90,000"
Ktm Rc 200,71,30000,"Rs. 2,80,000"
Ktm Duke,82,18000,"Rs. 3,40,000"
Abhishek,01,27000,"Rs. 2,60,000"
Ktm Duke 390 Naked Sport,85,48000,"Rs. 4,00,000"
Ktm Rc 200cc,67,40000,"Rs. 2,80,000"
Duke 200 69 Lot,69,4500,"Rs. 2,30,000"
Duke 200 69 Lot,69,4500,"Rs. 2,30,000"
Ktm Duke Sale,70,15000,"Rs. 3,60,000"
Ktm Rc 200,73,11000,"Rs. 3,19,000"
Pulser 220 Cc,93,18326,"Rs. 2,35,000"
Ktm Duke 200,73,290000,"Rs. 2,60,000"
Duke 250,4 ,13000,"Rs. 4,55,000"
"Duke 200 ( White ,2016 Modle )",77,28000,"Rs. 2,80,000"
Ktm Duke 200,41,14000,"Rs. 3,35,000"
Ktm Rc 200cc,70,26000,"Rs. 2,70,000"
Duke Head Light,71,,"Rs. 1,800"
Ktm Rc 200 ( Brand New Condition),69,20000,"Rs. 2,75,000"
Duke 250,02,18000,"Rs. 4,70,000"
Ktm 200rc,80,15000,"Rs. 3,20,000"
Duke 250,16,18000,"Rs. 4,00,000"
Duke 250,16,18000,"Rs. 4,00,000"
Duke 200,80,27k,"Rs. 2,95,000"
Rc 390 On Sell,82,25k,"Rs. 4,70,000"
Rc 390 2016 New Engine For Sale,73,33000,"Rs. 3,40,000"
Ktm Rc 200,12,28500,"Rs. 3,50,000"
Bike On Sale 390,69,42000,"Rs. 3,65,000"
Ktm Duke 200cc (73 Lot),73,24500,"Rs. 2,56,000"
Duke 250,86,23000,"Rs. 4,50,000"
Duke 250,86,23000,"Rs. 4,50,000"
Ktm200,9 ,35000,"Rs. 3,00,000"
Duke For Sale,10,25000,"Rs. 2,00,000"
Duke 200,70,39000,"Rs. 2,80,000"
Ktm 200,69,18000,"Rs. 3,00,000"
Duke 200 On Sale 73 Lot,73,,"Rs. 2,49,999"
Urgent Sale Duke 200,27,30k,"Rs. 3,00,000"
6k Run Duke 250,01,7000,"Rs. 5,10,000"
Bb,01,5500,"Rs. 4,70,000"
Ktm Rc-200 85lot,85,30000,"Rs. 3,50,000"
Rc 390 66 Lot Single Hand Owner 18000 Run,66,18000,"Rs. 3,00,000"
Rc200 On Sale,81,,"Rs. 3,40,000"
Rc390,3 ,24000,"Rs. 3,50,000"
