Name,Lot No.,Kilometers,Price
Yamaha Ray-zr On Sale,1 ,4800,"Rs. 1,54,000"
Rx100 On Sell,6 ,,"Rs. 50,000"
Yamaha Fzs V2 Sale,04,3125,"Rs. 2,40,000"
Red N White R15 V1.5s,72,21750,"Rs. 1,98,000"
Fascino 125 Is On Sale,75,25225,"Rs. 1,00,000"
R15 V3 On Sale,06,3000,"Rs. 3,85,000"
Yamaha Fz25,92,"12,500","Rs. 2,80,000"
Yamaha Fzs V2,01,,"Rs. 2,50,000"
R15 Bike,49,37000,"Rs. 1,35,000"
One Handed Fz25 On Sale,92,17k,"Rs. 2,70,000"
Fz25 Urgent Sale,89,14k,"Rs. 2,90,000"
Urgent Sale Yamaha Fzs V2,02,14500,"Rs. 2,10,000"
R15 V2 Special Edition,39,13267,"Rs. 1,80,000"
R15 V2 Special Edition,39,13267,"Rs. 1,80,000"
Fzs V3,08,4500,"Rs. 2,90,000"
Fz V1 On Sale,59,38000,"Rs. 1,05,000"
R15 V2 On Sell,50,,"Rs. 1,40,000"
Fz V1 On Sale,10,40000,"Rs. 62,000"
R15v3,11,8000,"Rs. 3,89,999"
Fascino Scooter On Slae,86,9000,"Rs. 1,35,000"
R15 V1 On Sale,48,37000,"Rs. 1,10,000"
R15 V1 On Sale,48,37000,"Rs. 1,10,000"
R15 V3,2 ,18000,"Rs. 3,25,000"
Yamaha Alba 33,33,No Ide,"Rs. 49,000"
Yamaha Fz V2 89 Lot,89,21000,"Rs. 1,95,000"
Fz 25 (250cc),13,5000,"Rs. 3,90,000"
Yamaha Fascino 90 Lot,90,,"Rs. 1,25,000"
Yamaha Fazer,36,,"Rs. 75,000"
Yamaha Ybr 125 Cc,38,35000,"Rs. 49,999"
Fz Bike 62 Lot,62,,"Rs. 90,000"
Scooter On Sale,18,50,"Rs. 1,70,000"
Fzs Bike On Sale,53,50000,"Rs. 1,09,000"
Yahama Fz 25,89,17000,"Rs. 2,35,000"
Yahama R15 V3,16,15000,"Rs. 3,70,000"
Urgent Sale,91,12000,"Rs. 2,90,000"
Urgent Sale,91,12000,"Rs. 2,90,000"
R15 S On Sale,70,31000,"Rs. 1,65,000"
Enticer 2012,50,No Ide,"Rs. 69,000"
R15 V1,42,40000,"Rs. 95,000"
Fz - S,08,7000,"Rs. 2,50,000"
Yamaha Fz 16 Urgent Sale,32,,"Rs. 85,000"
Yamaha Fascino 125,39,,"Rs. 1,50,000"
Yamaha Bike R15s,78,35000,"Rs. 1,40,000"
Yamaha Bike R15s,78,35000,"Rs. 1,40,000"
Yamaha Fz 16 Fi ( 2gs5/2gsa ),- ,,"Rs. 2,79,900"
Fascino,82,11598,"Rs. 1,10,000"
Fascino Na 39 Lot,39,39500,"Rs. 87,459"
Alba 39 Lot,39,No Ide,"Rs. 50,000"
R15 71 Lot V1,71,,"Rs. 1,50,000"
R15 Sell Or Exchange With Conditioned Scooter,66,43000,"Rs. 1,35,000"
Yama Fz16 Fresh Condition Fully Repaired,32,,"Rs. 32,000"
Yamaha Fz-s,82,31028,"Rs. 1,70,000"
Yamaha Dt 50cc,2,,"Rs. 1,30,000"
Yamaha Fz 250 Urgent Sale,50,24000,"Rs. 2,19,000"
Yamaha Scooty,76,24000,"Rs. 1,15,000"
Yamaha Fz 225 Urgent Sale,09,14500,"Rs. 3,00,000"
Yamaha,87,17121,"Rs. 1,25,000"
Yamaha,87,17121,"Rs. 1,25,000"
Yamaha Fzs,90,11000,"Rs. 2,00,000"
Yamaha Fz25 Ceramic Coated,49,2600,"Rs. 3,00,000"
R15 V2 On Sale,63,30,"Rs. 1,20,000"
Rajdoot 175,1 ,12660,"Rs. 95,000"
Yamaha Fz-s (60 Lot),60,68000,"Rs. 1,15,000"
Like New Single Hand Yamaha Libero Bike,17,27000,"Rs. 40,000"
Yamaha Dirt Bike (xtz 125) Like New,04,3000,"Rs. 3,15,000"
Yamaha Dirt Bike (xtz 125) Like New,04,3000,"Rs. 3,15,000"
R15 V3,04,12000,"Rs. 3,50,000"
Fz 250 On Sell,91,21000,"Rs. 2,70,000"
Fz25 Abs (only 4000km Run),11,4000,"Rs. 3,99,999"
R15v2,16,30000,"Rs. 1,90,000"
Fz 150 V2,90,6000,"Rs. 2,20,000"
One Hand Bike On Urgent Sell,50,22000,"Rs. 67,000"
Fz 150 Fresh And New On Sale,98,10000,"Rs. 2,00,000"
V3 R15 Abs,8 ,8000,"Rs. 3,90,000"
Urgent For Sale,02,12000,"Rs. 2,45,000"
Sale Sale,3 ,15000,"Rs. 2,20,000"
Urget Sell,97,24,"Rs. 1,80,000"
Fzs V2 Double Disc,55,26000,"Rs. 1,99,999"
61 Lot V2 On Sale,61,,"Rs. 1,27,000"
61 Lot V2 On Sale,61,,"Rs. 1,27,000"
Fzv1,62,,"Rs. 1,05,000"
Single Hand Fzs Double Disc113 Lot,13,6000,"Rs. 2,63,000"
Fz 16,37,60000,"Rs. 90,000"
Yamaha Enticer49lot Very Good Condition,49,18000,"Rs. 58,000"
Yamaha Fzs 79 Lot,79,,"Rs. 1,65,000"
Yamaha Fz 250 Urgent Sale,89,18000,"Rs. 2,50,000"
Yamaha Fzs-fi(2gs6/2gsb),Na,,"Rs. 2,84,900"
Yamaha Fzs-fi(2gs6/2gsb),Na,,"Rs. 2,84,900"
R15 V2,69,,"Rs. 1,65,000"
On Sell,13,,"Rs. 95,000"
Fascino 125 Red,92,10000,"Rs. 1,40,000"
54 Lot Fredh Fz On Sale,54,,"Rs. 97,000"
Yamaha Mt15 115lots Sale/xchange,15,8000,"Rs. 3,89,900"
R15 V3 Abs Blue Lot 009,09,12000,"Rs. 4,15,000"
Yamaha Fzs V3 (only 1600km Run) Urgent Sale,16,1602,"Rs. 3,05,000"
R15 1.6,86,8000,"Rs. 2,90,000"
R15 V3,01,2500,"Rs. 3,79,999"
Frwsh Fz V2. Sale,01,19.5k,"Rs. 2,25,000"
Fz 250,91,,"Rs. 2,50,000"
Fasino. 78 Lot Bluemat Sale,78,26500,"Rs. 1,25,000"
Yamaha Fz V3 (006 Lot),06,8900,"Rs. 2,58,000"
Yamaha Fz V3 (006 Lot),06,8900,"Rs. 2,58,000"
Yamaha Sz Low Cost Bike,2,,"Rs. 98,000"
Fascino,88,14000,"Rs. 1,35,000"
Fresh Condition Yamaha Fzs Bike On Sale..,62,,"Rs. 92,000"
R15 V.1.5,37,27000,"Rs. 1,70,000"
Fz 250 Lot 112,11,5000,"Rs. 3,35,000"
Yamaha Fzs V3,07,,"Rs. 2,75,999"
Bike,98,27000,"Rs. 1,90,000"
Bike,98,27000,"Rs. 1,90,000"
Fzs V2 On Sell,86,21000,"Rs. 1,75,000"
Fz16 32lot,32,45000,"Rs. 85,000"
Yamaha Fzs-fi V3.0 With Abs Lot 009,9 ,4100,"Rs. 2,89,000"
Yahama V3 On Sell,03,10300,"Rs. 3,20,000"
Sell,62,19000,"Rs. 1,95,000"
One Hand Use Yamaha Power Stylish Naked Sport N Racing Bike Fz-s Fi V2,95,20000,"Rs. 2,10,900"
Yamaha Ray Z 56,57,31000,"Rs. 66,000"
R15v2 On Sell,60,50k,"Rs. 1,60,000"
Fz V2 2016model,11,16000,"Rs. 1,35,000"
Super Fresh Condition Yamaha Facino Scooty On Sale...,85,,"Rs. 1,07,000"
Fascino Scooty,00,9000,"Rs. 1,65,000"
67 Lot Rey Z On Sale,67,,"Rs. 87,000"
2017 Model R15 V1s,86,27400,"Rs. 3,00,000"
2017 Model R15 V1s,86,27400,"Rs. 3,00,000"
Yamaha Fz V 3,06,7000,"Rs. 2,85,000"
Full Condition,10,11600,"Rs. 1,65,165"
Fz V2,07,70000,"Rs. 1,50,000"
Yamaha Ray Zr,76,25000,"Rs. 1,15,000"
Yamaha R15v2,10,15000,"Rs. 1,65,000"
Bike Bikrima,41,34000,"Rs. 95,000"
Fz 150,11,5000,"Rs. 2,85,000"
Fz 150,11,5000,"Rs. 2,85,000"
Yamaha Zr On Sale ( 92 Lot ),92,13000+,"Rs. 1,28,999"
Yamaha Fzs 150,13,5700,"Rs. 2,35,000"
Yamaha R15 V2 Limited Edition White And Blue,57,13000,"Rs. 2,00,000"
Fzs Fi Ver.2.00,32,"40,000","Rs. 2,20,000"
Bike Akdam Fresh Xa Emergency Vako Le Bechna Lako,71,,"Rs. 1,70,000"
R15 V3 Monster Edition,09,6983,"Rs. 4,00,000"
Yamaha Vs3.0,10,7100,"Rs. 2,95,000"
Yamaha Fascino,74,,"Rs. 1,15,000"
Yamaha Saluto (71 Lot),71,26700,"Rs. 76,000"
91 Lot Fz250cc On Sale.,91,"20,000","Rs. 2,80,000"
R15 V1. 5,71,50k,"Rs. 1,55,000"
Fz250 Sport Bike,95,18500,"Rs. 2,85,000"
R15 V1 On Urgent Sale,45,30000,"Rs. 87,000"
R15 V1 On Urgent Sale,45,30000,"Rs. 87,000"
Yamaha V3,8 ,14000,"Rs. 2,70,000"
Mt-15,12,1700,"Rs. 4,10,000"
Fz V2,07,7k,"Rs. 2,70,000"
Fz 25 Sale,92,30××,"Rs. 2,55,000"
Yamaha Ray Zr Fi- 125,Na,,"Rs. 2,44,900"
Fascino Lot 80,80,14000,"Rs. 1,04,000"
63 Lot R15 V2 Newly Painted Bike On Sale,63,29000,"Rs. 1,38,000"
63 Lot R15 V2 Newly Painted Bike On Sale,63,29000,"Rs. 1,38,000"
Urgent Sale Mt15 Fresh,00,2600,"Rs. 3,70,000"
Yamaha Fascino 84 Lots Sale/xchange,84,,"Rs. 1,13,900"
2011 Model R15 On Sale,48,,"Rs. 77,000"
92 Lot Fascino Excellent Condition,92,13415,"Rs. 1,35,000"
Yamaha Fz Vr 2,10,30000,"Rs. 1,45,000"
Yamha R15 On Urgent Sell,50,22000,"Rs. 1,05,000"
Yamaha R15,16,32000,"Rs. 90,000"
Szr Yamaha,48,,"Rs. 70,000"
Yamaha Fascino,- ,,"Rs. 2,12,900"
Urgent Sell Of Yamaha R15s,32,19k,"Rs. 2,50,000"
Yamaha R15,75,26000,"Rs. 1,65,000"
R15s,86,24700,"Rs. 2,40,000"
R15 For Sale,63,,"Rs. 1,37,000"
R15 For Sale,63,,"Rs. 1,37,000"
Fzs V2,95,5000,"Rs. 2,50,000"
Fzs V3.0 Single Hand 109 Lot,09,,"Rs. 2,58,000"
Yamaha Fzs V2,88,22000,"Rs. 2,00,000"
Fzs Urgent Sell,73,39000,"Rs. 1,40,000"
R15 V2 Yzf,69,"21,000","Rs. 1,97,000"
R15/ V2,61,26000,"Rs. 1,47,000"
Gladiator Lot 58 Black,58,,"Rs. 70,000"
Gladiator Lot 58 Black,58,,"Rs. 70,000"
Yamaha Z-ray,84,,"Rs. 1,30,000"
Bike On Sell,10,8500,"Rs. 2,80,000"
Scooter Yamaha Ray-z,67,,"Rs. 1,00,000"
Yamaha Fz 25,91,15000,"Rs. 2,60,000"
Fzs V2 Blue (yamaha),72,40000,"Rs. 1,65,000"
Urgent Sell,10,,"Rs. 60,000"
Yamaha Fascino 125 Fi,Na,,"Rs. 2,49,900"
Fz-v2,15,35000,"Rs. 1,55,000"
Yamaha Fzs,00,5655,"Rs. 2,80,000"
Fz 15 Abs,11,,"Rs. 2,85,000"
R15v2,49,63000,"Rs. 1,60,000"
Yamaha R15 V2 Sale,65,37000,"Rs. 1,45,000"
R15 V3 On Sale,03,8000,"Rs. 3,95,000"
R15 V3 On Sale,03,8000,"Rs. 3,95,000"
R15 V1.5 On Sale Sale..lock Down Sale,71,22000,"Rs. 1,70,000"
Ray Zr,97,13000,"Rs. 1,50,000"
Yamaha Fazer 250,38,6000,"Rs. 3,50,000"
Yamaha Alpha Cygnus Scooter 69lot,69,21000,"Rs. 70,000"
Yahama Ybx 125,9 ,72000,"Rs. 29,999"
Yamaha Enticer,50,57000,"Rs. 77,000"
"Fz25 - Only 5,382km",96,5382,"Rs. 3,35,000"
"Fz25 - Only 5,382km",96,5382,"Rs. 3,35,000"
Fascino On Sale,72,,"Rs. 1,00,000"
R15 V2,60,41000,"Rs. 1,15,000"
Ray Z Scooter,67,21000,"Rs. 80,000"
R15 V3 On Urgent Sale,01,18000,"Rs. 3,50,000"
Fz 250,92,25000,"Rs. 2,20,000"
64 Lot Ko Ray Z For Sale,64,,"Rs. 75,000"
R15,39,,"Rs. 1,30,000"
R15 V3,06,4000,"Rs. 3,90,000"
Off Road Bike Malaysian,51,14000,"Rs. 16,999"
Ray Z Lot 67 Green,67,,"Rs. 85,000"
Fzs V2 Urgent Sell,00,10000,"Rs. 2,10,000"
R15,43,,"Rs. 1,50,000"
008 Yamaha R15 Version 3 2019model,08,10000,"Rs. 3,67,000"
008 Yamaha R15 Version 3 2019model,08,10000,"Rs. 3,67,000"
Rajesh,04,22500,"Rs. 3,30,000"
Ray Zr,02,,"Rs. 1,49,000"
R15 V2 On Sale,31,29k,"Rs. 1,45,000"
Vintage Rx 100,05,,"Rs. 50,000"
Yamaha Fzs V3.0 Abs,07,12000,"Rs. 2,80,000"
Yamaha Scoter,78,,"Rs. 1,15,000"
Yamaha Gladiator,04,,"Rs. 50,000"
Yamaha Gladiator,04,,"Rs. 50,000"
