Name,Lot No.,Kilometers,Price
Motrac M5,- ,,"Rs. 2,90,000"
Motrac M5,- ,,"Rs. 2,90,000"
Runner Fireblade 125,- ,,"Rs. 2,65,000"
Scomadi Tl 125 Limited Edition,- ,,"Rs. 3,55,000"
Lemoto Scooter 125cc On Sale,90,1500,"Rs. 1,30,000"
Mv Agusta Dragster 800 Rr Pirelli,Xx,,"Rs. 63,90,000"
Mv Agusta Brutale 800 Rr,Xx,,"Rs. 46,90,000"
Ace British Classic 400,73,8700,"Rs. 3,10,000"
Mv Agusta Dragster 800 Rr America,Xx,,"Rs. 61,90,000"
Mv Agusta Dragster 800 Rr America,Xx,,"Rs. 61,90,000"
Sachs Madass 125,57,4000,"Rs. 90,000"
Italjet Moterbike Sale,99,4100,"Rs. 1,90,000"
Oreva E Bike,98,25,"Rs. 75,000"
Italjet Buccaneer 250i On Sale,95,9800,"Rs. 3,75,000"
Motrac M6,- ,,"Rs. 2,85,000"
Honda Street Modify To Bmx,15,,"Rs. 30,000"
Cf Moto 150nk On Urgent Sale..,02,15000,"Rs. 2,40,000"
Runner Kite +,- ,,"Rs. 1,89,000"
Modifie Mirror,89,,"Rs. 1,000"
Mv Agusta Dragster 800 Rr,Xx,,"Rs. 59,90,000"
Bike Fresh,82,,"Rs. 1,65,000"
Runner Bullet 125,- ,,"Rs. 1,95,000"
Motrac Mx,- ,,"Rs. 2,70,000"
Motrac Mx,- ,,"Rs. 2,70,000"
Husqvarna 2019 On Sale,01,1200,"Rs. 17,00,000"
Motrac Mox,- ,,"Rs. 2,95,000"
Sundiro Gn 125 On Sale,12,,"Rs. 40,000"
Rtr Apache,98,5000,"Rs. 2,10,000"
Runner Moto,- ,,"Rs. 2,45,000"
Ducati Monster 2011,47,,"Rs. 16,00,000"
Runner Ad 80 Deluxe,- ,,"Rs. 1,65,000"
Runner Ad 80 Deluxe,- ,,"Rs. 1,65,000"
Runner Turbo,- ,,"Rs. 2,30,000"
Scomadi 250,00,4000,"Rs. 3,99,999"
Ace British 400 On Sale,73,16000,"Rs. 3,20,000"
Runner Cheeta,- ,,"Rs. 1,69,000"
Italica Scooter On Sale,05,13000,"Rs. 1,98,000"
Italijet Buccaneer Urjent Sell,43,46638,"Rs. 4,50,000"
Need Indian Cycle,01,,"Rs. 3,000"
Runner Bike Rt,- ,,"Rs. 1,52,000"
Runner Royal +,- ,,"Rs. 1,89,000"
Need Scooter Rs.10000 No Need Bil Book No Need Tax,01,,"Rs. 10,000"
Ducati Monster 796 On Sale,01,10800,"Rs. 16,75,000"
British Ace For Sale Or Xchnge,83,13800,"Rs. 3,25,000"
