Name,Lot No.,Kilometers,Price
Wave Scooty,22,,"Rs. 20,000"
Pulsar 150 Td,11,8500,"Rs. 2,20,000"
150 Pulsar 86 Lot,86,19k,"Rs. 1,40,000"
Ns 200,98,14000,"Rs. 2,10,000"
Avenger (bajaj) 200 Cc One Handed Good Condition,33,,"Rs. 67,000"
Pulsar 200,29,,"Rs. 75,000"
Fresh Condition Pulsar 150 Bike On Sale...,46,,"Rs. 67,000"
Urgent Sell,90,22000,"Rs. 2,07,000"
Pulsar 220,58,60000,"Rs. 1,25,000"
Pulsar 220,58,60000,"Rs. 1,25,000"
Ns 200 With Pirelli Angel City,82,20000+,"Rs. 1,95,000"
Ns200 Sell On Urgent,88,16000,"Rs. 1,95,000"
Ns Pulsar,06,6852,"Rs. 2,80,000"
Discover 125 90 Lot,90,No Ide,"Rs. 1,09,000"
Sale 220 Pulsar,28,,"Rs. 1,70,000"
Discover 125,65,30k,"Rs. 90,000"
Bajaj Discover,40,31000,"Rs. 55,000"
Bajaj Discover,40,31000,"Rs. 55,000"
Ns200 Exellent,97,14000,"Rs. 2,28,000"
Pulsur150,34,2000,"Rs. 80,000"
Adventure Sport 150cc Engine,97,8000,"Rs. 1,80,000"
Pulsar Rs200,69,19000,"Rs. 1,90,000"
Bajaj Pulsar Ns160,- ,,"Rs. 2,86,900"
V15,80,37000,"Rs. 1,10,000"
Ns200 Pulsar 63lot,63,39000,"Rs. 1,45,000"
Bajaj Pulsar 200ns,--,,"Rs. 3,34,900"
Pulsar Rs 200,74,,"Rs. 2,30,000"
"Pulsar 220 On Sale , Bike Is On Full Condition",44,23800,"Rs. 1,75,000"
Pulsar 220,64,25400,"Rs. 1,75,000"
Ns 200 On Sale,83,25000,"Rs. 1,90,000"
Pulsar 150,59,,"Rs. 1,19,999"
Pulsar 150,59,,"Rs. 1,19,999"
Ns 200 Bike,15,2500,"Rs. 3,15,000"
Fresh Ns 200,85,30000,"Rs. 1,90,000"
Bajaj Pulsar As150,37,32k,"Rs. 1,00,000"
Dominar 400 Bike,4 ,8800,"Rs. 3,50,000"
220 Pulsar Ba 79 Lot,79,27000,"Rs. 1,70,000"
Bajaj Pulsar 220f,- ,,"Rs. 3,16,900"
Pulsar 150,58,60000,"Rs. 1,10,000"
Pulsar 150,58,60000,"Rs. 1,10,000"
Pulsar 150(blue),18,,"Rs. 25,000"
